bike_station_name,station_longitude,station_latitude,number_of_bikes,number_empty_docks,number_of_docks,number_standard_bikes,number_ebikes,bike_station_id
"Black Prince Road, Vauxhall",-0.116911,51.490867,13,6,19,13,0,310
"Foley Street, Fitzrovia",-0.140485,51.519181,1,23,24,1,0,311
"Grove End Road, St. John's Wood",-0.17677,51.530889,20,0,20,17,3,312
"Wells Street, Fitzrovia",-0.138072,51.517344,0,38,38,0,0,313
"Tyers Gate, Bermondsey",-0.083159,51.500889,30,6,36,30,0,314
"The Tennis Courts, The Regent's Park",-0.153463,51.525367,2,14,16,1,1,315
"Warwick Row, Westminster",-0.14296,51.497998,2,19,21,2,0,316
"Dickens Square, Borough",-0.093913,51.496791,18,14,32,17,1,317
"Sackville Street, Mayfair",-0.138846,51.510048,1,17,18,0,1,318
"Baldwin Street, St. Luke's",-0.088542,51.527025,1,20,21,1,0,319
"Queen Mother Sports Centre, Victoria",-0.139956,51.493573,26,0,26,25,1,320
"Bermondsey Street, Bermondsey",-0.081608,51.497855,24,0,24,23,1,321
"Palissy Street, Shoreditch",-0.073955,51.526293,10,16,26,10,0,322
"Clifton Street, Shoreditch",-0.083067,51.523196,0,24,24,0,0,323
"Ontario Street, Elephant & Castle",-0.101384,51.49652,13,2,15,12,1,324
"St. Martin's Street, West End",-0.129697,51.509087,4,14,18,4,0,325
"Graham Street, Angel",-0.099981,51.532661,16,10,26,14,2,326
"New North Road 2, Hoxton",-0.086016,51.53114,12,10,22,12,0,328
"Prince Albert Road, The Regent's Park",-0.160854,51.535892,13,11,24,12,1,329
"Eastbourne Mews, Paddington",-0.179135,51.516417,23,11,34,23,0,330
"Bunhill Row, Moorgate",-0.089887,51.520858,3,27,30,3,0,331
"Nevern Place, Earl's Court",-0.194757,51.493343,11,9,20,11,0,332
"Palace Gardens Terrace, Notting Hill",-0.193764,51.508605,12,25,37,12,0,333
"Concert Hall Approach 1, South Bank",-0.115851,51.505044,8,2,10,8,0,334
"Tavistock Street, Covent Garden",-0.120718,51.511968,0,33,33,0,0,335
"Concert Hall Approach 2, South Bank",-0.115533,51.504942,17,1,18,16,1,336
"Pembridge Villas, Notting Hill",-0.197524,51.511084,1,15,16,1,0,337
"Risinghill Street, Angel",-0.111781,51.533319,15,10,25,9,6,339
"Bank of England Museum, Bank",-0.087587,51.514441,0,16,16,0,0,340
"Craven Street, Strand",-0.126021,51.508103,0,23,23,0,0,341
"London Zoo Car Park, The Regent's Park",-0.150181,51.536922,17,19,36,17,0,343
"Goswell Road (City Uni), Finsbury",-0.101026,51.528246,4,13,17,4,0,344
"Flood Street, Chelsea",-0.166878,51.488023,22,11,33,22,0,345
"Lower Marsh, Waterloo",-0.113936,51.500139,15,2,17,14,1,347
"Grosvenor Square, Mayfair",-0.150481,51.51217,0,17,17,0,0,348
"St. George Street, Mayfair",-0.142783,51.51196,0,18,18,0,0,349
"Queen's Gate, Kensington Gardens",-0.179854,51.501715,19,2,21,19,0,350
"Macclesfield Rd, St Lukes",-0.097122,51.529423,28,0,28,26,2,351
"Vauxhall Street, Vauxhall",-0.116625,51.486965,18,1,19,18,0,352
"Greycoat Street , Westminster",-0.134234,51.494591,2,15,17,2,0,353
"Northumberland Avenue, Strand",-0.123702,51.506767,14,23,37,14,0,354
"Clapham Common Station, Clapham Common",-0.139221,51.461388,9,12,21,8,1,355
"South Kensington Station, South Kensington",-0.173881,51.494412,0,15,15,0,0,356
"Howland Street, Fitzrovia",-0.139016,51.520994,2,28,30,2,0,357
"High Holborn , Covent Garden",-0.124826,51.516226,0,20,20,0,0,358
"Butler Place, Westminster",-0.13544,51.497829,1,17,18,1,0,359
"Waterloo Station 2, Waterloo",-0.113426,51.503919,53,2,55,39,14,361
"Royal College Street, Camden Town",-0.133952,51.536264,6,51,57,6,0,362
"Lord's, St. John's Wood",-0.171185,51.529121,9,15,24,9,0,363
"Store Street, Bloomsbury",-0.13214,51.519572,4,28,32,4,0,364
"City Road, Angel",-0.100168,51.530344,45,2,47,45,0,365
"Millennium Hotel, Mayfair",-0.151126,51.510919,0,27,27,0,0,366
"Harrowby Street, Marylebone",-0.164207,51.517372,5,11,16,5,0,367
"Harriet Street, Knightsbridge",-0.15934,51.500241,3,22,25,3,0,368
"Paddington Green, Paddington",-0.174593,51.520205,10,10,20,10,0,370
"King Edward Walk, Waterloo",-0.10988,51.49775,20,2,22,20,0,371
"Sardinia Street, Holborn",-0.117863,51.515208,0,24,24,0,0,372
"Prince Consort Road, Knightsbridge",-0.176415,51.499806,2,16,18,1,1,373
"Waterloo Station 1, Waterloo",-0.113864,51.504027,34,2,36,32,2,374
"Kensington Town Hall, Kensington",-0.194392,51.501945,17,1,18,17,0,375
"Millbank Tower, Pimlico",-0.125674,51.491884,2,22,24,2,0,376
"Waterloo Bridge, South Bank",-0.113656,51.505354,9,6,15,9,0,377
"Natural History Museum, South Kensington",-0.179077,51.495592,0,42,42,0,0,378
"Turquoise Island, Notting Hill",-0.200838,51.514311,10,11,21,10,0,379
"Stanhope Gate, Mayfair",-0.150666,51.506864,0,21,21,0,0,380
"Charlotte Street, Fitzrovia",-0.135777,51.51953,1,13,14,0,1,381
